,discoverymethod,pl_masse,pl_name,pl_orbper,pl_rade
1457,Transit,851.7844,WASP-61 b,3.8559,15.805
1458,Transit,13.5,TOI-1064 b,6.443868,2.587
1459,Transit,8.32,HD 23472 b,17.667087,2.0
1460,Transit,,TOI-913 b,11.098644,2.453
1461,Transit,11.0,TOI-2000 b,3.09833,2.7
1462,Transit,533.95172,TOI-2977 b,2.3505614,13.159
1463,Transit,,K2-371 b,3.114905,13.024
1464,Transit,3.7,HD 21749 c,7.78993,0.892
1465,Transit,1.58,LHS 1815 b,3.814334,1.088
1466,Transit,,TOI-444 b,17.9636,2.77
1467,Transit,,TOI-470 b,12.19148,4.34
1468,Transit,,TOI-715 b,19.288004,1.55
1469,Transit,,HD 56414 b,29.04992,3.71
1470,Transit,3.48,TOI-1416 b,1.0697568,1.62
1471,Transit,55.30242,TOI-954 b,3.6849729,9.55
1472,Transit,3.07,TOI-431 b,0.490047,1.28
1473,Transit,9.9,TOI-431 d,12.46103,3.29
1474,Transit,2.5,TOI-1064 c,12.226574,2.651
1475,Transit,9.6,TOI-836 c,8.59545,2.587
1476,Transit,75.96099,TOI-1199 b,3.671463,10.514
1477,Transit,,TOI-2459 b,19.104718,2.953
1478,Transit,208.81326,TOI-2525 c,49.2519,10.133
1479,Transit,197.05361,TOI-3023 b,3.9014971,16.432
1480,Transit,129.03833,TOI-3912 b,3.4936264,14.28
1481,Transit,473.56433,TOI-4551 b,9.95581,11.859
1482,Transit,349.61125,TOI-858 B b,3.2797178,14.067
1483,Microlensing,11.2,KMT-2021-BLG-0171L b,,
1484,Transit,,TOI-1860 b,1.0662107,1.31
1485,Radial Velocity,,HD 141937 b,653.21997,
1486,Radial Velocity,,HD 162020 b,8.4282,
1487,Imaging,4449.62,TYC 8998-760-1 b,,
1488,Imaging,1906.98,TYC 8998-760-1 c,,12.33
1489,Radial Velocity,,iot Dra c,25000.0,
1490,Radial Velocity,,GJ 179 b,2288.0,
1491,Radial Velocity,,HD 108341 b,1129.0,
1492,Radial Velocity,,HD 68402 b,1103.0,
1493,Radial Velocity,,HD 154345 b,3341.55884,
1494,Radial Velocity,,HD 213240 b,882.70001,
1495,Radial Velocity,,HD 222155 b,3999.0,
1496,Radial Velocity,,HD 117207 b,2621.75,
1497,Radial Velocity,9045.39646,HD 26161 b,10942.29013,
1498,Microlensing,46.0,MOA-2020-BLG-208L b,,
1499,Microlensing,1166.43025,KMT-2017-BLG-0673L b,,
1500,Radial Velocity,,GJ 1002 b,10.3465,
1501,Radial Velocity,,GJ 1002 c,21.202,
1502,Radial Velocity,,HD 45364 b,225.79,
1503,Radial Velocity,,HD 45364 c,345.43,
1504,Radial Velocity,,HD 27631 b,2198.14,
1505,Radial Velocity,9333.03117,HD 188641 b,14583.81038,
1506,Radial Velocity,3025.09078,HD 106515 A b,3586.86089,
1507,Radial Velocity,2598.56506,HD 11112 b,17244.90764,
1508,Radial Velocity,2531.50326,HD 111232 b,1169.13202,
1509,Radial Velocity,3465.60095,HD 125271 b,14901.99295,
1510,Radial Velocity,4164.18779,HD 136118 b,1187.59765,
1511,Radial Velocity,658.54046,HD 145934 b,2751.53433,
1512,Radial Velocity,2154.8766,HD 168863 b,14773.93272,
1513,Radial Velocity,3561.90296,HD 194490 b,13092.18348,
1514,Radial Velocity,3057.50928,HD 219077 b,5478.68861,
1515,Radial Velocity,2075.73733,HD 224538 b,1202.05199,
1516,Radial Velocity,1739.47487,HD 29985 b,20608.14049,
1517,Radial Velocity,2670.7121,HD 30177 b,2514.53422,
1518,Radial Velocity,8445.33643,HD 457 b,20324.58153,
1519,Radial Velocity,2707.5802,HD 62549 b,14306.88519,
1520,Radial Velocity,5977.08102,HD 72659 c,18207.72098,
1521,Radial Velocity,1748.05624,HD 80883 b,6383.78352,
1522,Radial Velocity,3117.26102,HD 86264 b,1488.79123,
1523,Radial Velocity,4210.59074,HD 8673 b,1644.69097,
1524,Radial Velocity,6707.76853,HD 97037 b,6449.08337,
1525,Radial Velocity,2559.47216,14 Her b,1765.0389,
1526,Imaging,3727.80939,bet Pic b,8617.50952,
1527,Transit,731.00534,TOI-4127 b,56.39879,12.285
1528,Transit,131.89945,HD 1397 b,11.53533,11.5
1529,Transit,,Kepler-1745 b,3.01619005,1.929
1530,Transit,,Kepler-1899 b,4.0957799,1.551
1531,Transit,,Kepler-1917 b,12.90240002,1.89
1532,Transit,,Kepler-352 c,16.332995,1.24
1533,Transit,,Kepler-1761 b,4.04354,1.391
1534,Transit,,Kepler-205 c,20.306546,1.64
1535,Transit,66.10864,NGTS-12 b,7.532806,11.747
1536,Transit,129.99182,NGTS-18 b,3.05125,13.563
1537,Microlensing,210.0,OGLE-2018-BLG-1269L b,,
1538,Transit,260.61929,TOI-2570 b,2.9887615,13.641
1539,Radial Velocity,,HD 213472 b,17000.0,
1540,Transit,,Kepler-511 b,296.637865,6.35
1541,Transit,,K2-275 c,8.4388385,2.21
1542,Radial Velocity,6.7,TOI-238 c,8.465651,2.18
1543,Microlensing,575.26942,KMT-2019-BLG-0298L b,,
1544,Microlensing,63.56568,OGLE-2018-BLG-1212L b,,
1545,Transit,10.4,EPIC 229004835 b,16.141132,2.332
1546,Microlensing,17.79839,OGLE-2018-BLG-1126L b,,
1547,Radial Velocity,572.09113,HD 190360 b,2854.0,
1548,Radial Velocity,,YZ Cet c,3.05989,
1549,Transit,47.6745,CoRoTID 223977153 b,6.71837,6.389
1550,Radial Velocity,8.4,CoRoT-7 c,3.698,
1551,Transit,4.07661,CoRoT-7 b,0.85359163,1.681
1552,Microlensing,181.16219,OGLE-2014-BLG-0319L b,,
1553,Radial Velocity,17.142,CoRoT-7 d,8.966,
1554,Transit,,Kepler-1665 b,11.9548,2.839
1555,Transit,,Kepler-1808 b,23.3404007,3.025
1556,Transit,,Kepler-1863 b,44.99760056,2.263
1557,Transit,,Kepler-1733 b,9.22957993,3.636
1558,Transit,,K2-391 b,4.622654,1.371
1559,Transit,,Kepler-1935 b,3.95140004,2.503
1560,Transit,53.9,Kepler-462 b,84.6866,3.0
1561,Transit,,Kepler-394 d,5.61358023,1.501
1562,Transit,,Kepler-1670 b,20.4998,3.356
1563,Transit,,Kepler-1723 b,39.75289917,2.88
1564,Transit,,Kepler-1850 b,1.3858,0.729
1565,Transit,,Kepler-1722 b,9.17856979,2.867
1566,Transit,,Kepler-1934 b,1.41975999,0.913
1567,Radial Velocity,,HIP 107772 b,55.199,
1568,Radial Velocity,,TOI-4010 e,762.0,
1569,Imaging,2622.08436,WISE J033605.05-014350.4 b,2560.0,
1570,Transit,14.0,TOI-1749 c,4.4929,2.12
1571,Microlensing,29.87587,KMT-2019-BLG-1216L b,,
1572,Microlensing,368.68095,KMT-2019-BLG-2783L b,,
1573,Microlensing,2262.93826,OGLE-2019-BLG-0249L b,,
1574,Microlensing,1061.54688,OGLE-2019-BLG-0679L b,,
1575,Microlensing,15.4,KMT-2022-BLG-0440L b,,
1576,Radial Velocity,,HD 18438 b,803.0,
1577,Radial Velocity,,Kapteyn c,121.54,
1578,Radial Velocity,,HIP 105854 b,184.2,
1579,Transit,460.83,KOI-1257 b,86.647661,10.54
1580,Microlensing,1.66,OGLE-2013-BLG-0341L B b,,
1581,Radial Velocity,2665.30902,HD 98649 b,5697.3043,
1582,Radial Velocity,,HD 208487 b,130.08,
1583,Radial Velocity,,HD 27442 b,428.1,
1584,Radial Velocity,2151.06266,HD 81040 b,1005.98854,
1585,Radial Velocity,,HD 89307 b,2166.0,
1586,Radial Velocity,1719.13385,HD 87883 b,3309.22118,
1587,Radial Velocity,,HD 166724 b,5144.0,
1588,Radial Velocity,,HD 220689 b,2266.4,
1589,Transit Timing Variations,209.8,KOI-984 c,21.512,
1590,Transit,,Kepler-1085 b,219.3217528,7.22
1591,Transit,,Kepler-1788 b,2.80012011,2.379
1592,Transit,,Kepler-1775 b,85.65399933,3.648
1593,Radial Velocity,,HIP 4845 b,34.15,
1594,Transit,,Kepler-647 b,16.2254649,1.17
1595,Transit,,Kepler-1854 b,39.83110046,2.587
1596,Transit,,Kepler-865 c,6.20920207,0.89
1597,Transit,,Kepler-880 c,11.8061737,2.87
1598,Transit,,Kepler-896 c,29.5422566,3.15
1599,Transit,,Kepler-1491 c,61.569765,2.44
1600,Transit,,Kepler-1518 c,9.6310258,2.9
1601,Transit,,Kepler-347 d,85.517344,3.04
1602,Transit,,Kepler-616 d,51.06740189,2.653
1603,Transit,,Kepler-196 b,20.739886,1.9
1604,Microlensing,21.0,OGLE-2015-BLG-0966L b,,
1605,Transit,,Kepler-662 b,21.67697486,2.18
1606,Transit,,Kepler-1930 b,13.02680016,1.53
1607,Transit,,K2-133 c,4.86784,1.603
1608,Transit,6.36,TOI-1695 b,3.1342791,1.9
1609,Transit,143.02278,TOI-4329 b,2.9223,16.813
1610,Transit,4.82,TOI-1452 b,11.06201,1.672
1611,Transit,5879.82553,TOI-1278 b,14.47567,12.218
1612,Transit,,KOI-984 b,4.2881785,4.3
1613,Radial Velocity,,GJ 2056 b,69.971,
1614,Transit,,Kepler-1938 b,13.06260014,1.828
1615,Transit,,Kepler-1801 c,116.583183,2.91
1616,Transit,,Kepler-1814 c,0.62628177,1.76
1617,Transit,,Kepler-1181 c,8.93484887,1.83
1618,Transit,,Kepler-1804 b,12.28849983,1.596
1619,Transit,,Kepler-1750 b,205.9120026,6.004
1620,Transit,,Kepler-281 d,148.2720032,5.937
1621,Transit,1004.33777,TOI-1516 b,2.056014,15.244
1622,Transit,991.62463,TOI-1431 b,2.650237,16.701
1623,Transit,,Kepler-1823 b,21.10339928,2.086
1624,Transit,,Kepler-381 d,8.25629997,1.067
1625,Transit,,Kepler-1887 b,19.94750023,2.925
1626,Transit,,Kepler-394 b,8.005013,1.6
1627,Transit,,Kepler-1266 c,4.86631012,1.68
1628,Radial Velocity,,HIP 48714 b,17.818,
1629,Transit,,Kepler-1947 b,6.9636302,1.01
1630,Radial Velocity,,GJ 687 c,727.562,
1631,Transit,,Kepler-1874 b,56.57320023,2.211
1632,Radial Velocity,,HD 141004 b,15.5083,
