# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: wavelength, datatype: float32}
# - {name: bin_width, datatype: float32}
# - {name: lcdata, datatype: float64}
# - {name: lcerr, datatype: float64}
# - {name: transit, datatype: float64}
# - {name: polynom, datatype: float64}
# - {name: model, datatype: float64}
# - {name: residuals, datatype: float64}
# schema: astropy-2.0
time wavelength bin_width lcdata lcerr transit polynom model residuals
59770.64402024817 2.2355707 0.008510351 1.0057277194311833 0.0004269052690121486 1.0 1.0077347406451636 1.0077347406451636 -0.00200702121398022
59770.644036191596 2.2355707 0.008510351 "" "" 1.0 1.0077345827171444 1.0077345827171444 ""
59770.64405213501 2.2355707 0.008510351 1.0070817926082134 0.00042734735838564615 1.0 1.007734424794783 1.007734424794783 -0.000652632186569635
59770.644068078436 2.2355707 0.008510351 "" "" 1.0 1.007734266877791 1.007734266877791 ""
59770.64408402186 2.2355707 0.008510351 1.0079216169488097 0.0004274869588823657 1.0 1.0077341089663847 1.0077341089663847 0.00018750798242495037
59770.64409996527 2.2355707 0.008510351 1.0071924691753529 0.0004274401006802406 1.0 1.0077339510605638 1.0077339510605638 -0.0005414818852109704
59770.6441159087 2.2355707 0.008510351 1.0081378864280182 0.00042750654102057423 1.0 1.0077337931601122 1.0077337931601122 0.00040409326790591393
59770.644131852125 2.2355707 0.008510351 1.0076415524810223 0.00042740610653785994 1.0 1.0077336352651745 1.0077336352651745 -9.208278415218096e-05
59770.64414779554 2.2355707 0.008510351 1.008660555820885 0.000427583156862927 1.0 1.0077334773758941 1.0077334773758941 0.0009270784449908476
59770.64416373896 2.2355707 0.008510351 1.0078489126316668 0.00042748836180009836 1.0 1.0077333194920552 1.0077333194920552 0.00011559313961151396
59770.644179682386 2.2355707 0.008510351 1.0088370224089118 0.00042770753717861386 1.0 1.007733161613658 1.007733161613658 0.0011038607952538193
59770.6441956258 2.2355707 0.008510351 1.0078943506563014 0.0004275127838385466 1.0 1.0077330037409182 1.0077330037409182 0.0001613469153831648
59770.644211569226 2.2355707 0.008510351 1.0080165024610281 0.0004274105319242354 1.0 1.007732845873548 1.007732845873548 0.0002836565874801966
59770.64422751264 2.2355707 0.008510351 1.0084575102564648 0.0004277275717278809 1.0 1.0077326880118351 1.0077326880118351 0.0007248222446296637
59770.64424345607 2.2355707 0.008510351 1.007873234816943 0.00042750893543199673 1.0 1.007732530155492 1.007732530155492 0.00014070466145099658
59770.64425939949 2.2355707 0.008510351 1.0076646485405862 0.0004274338880013626 1.0 1.0077323723047342 1.0077323723047342 -6.772376414798664e-05
59770.6442753429 2.2355707 0.008510351 1.0089557711766264 0.00042845601001148206 1.0 1.0077322144595622 1.0077322144595622 0.0012235567170642003
59770.64429128633 2.2355707 0.008510351 1.008980076291915 0.0004277055180586451 1.0 1.0077320566197594 1.0077320566197594 0.001248019672155598
59770.64430722975 2.2355707 0.008510351 1.0077661769420323 0.00042751760802818144 1.0 1.0077318987855424 1.0077318987855424 3.427815648993082e-05
59770.64432317317 2.2355707 0.008510351 1.0086232088894111 0.0004276588220384586 1.0 1.0077317409568387 1.0077317409568387 0.0008914679325724428
59770.64433911659 2.2355707 0.008510351 1.0077926197000455 0.00042952713382143264 1.0 1.0077315831336486 1.0077315831336486 6.103656639688815e-05
59770.644355060016 2.2355707 0.008510351 1.0058197192240077 0.00042734111517188383 1.0 1.0077314253159 1.0077314253159 -0.0019117060918922846
59770.64437100343 2.2355707 0.008510351 1.0074247667709073 0.0004274139111384608 1.0 1.007731267503809 1.007731267503809 -0.00030650073290172664
59770.64438694686 2.2355707 0.008510351 1.0077210249637254 0.0004274677497776504 1.0 1.0077311096970876 1.0077311096970876 -1.0084733362170084e-05
59770.64440289028 2.2355707 0.008510351 1.007412647268065 0.00042995843403021496 1.0 1.0077309518959514 1.0077309518959514 -0.00031830462788651204
59770.6444188337 2.2355707 0.008510351 1.0074482332077712 0.0004273780102063313 1.0 1.007730794100329 1.007730794100329 -0.0002825608925578482
59770.64443477712 2.2355707 0.008510351 1.0075448014373087 0.0004273240589476312 1.0 1.00773063631022 1.00773063631022 -0.00018583487291135015
59770.64445072054 2.2355707 0.008510351 1.0074441925681559 0.0004275016124041916 1.0 1.0077304785256247 1.0077304785256247 -0.0002862859574688237
59770.64446666396 2.2355707 0.008510351 1.006953145070464 0.00042723378202652276 1.0 1.0077303207465427 1.0077303207465427 -0.0007771756760786008
59770.64448260738 2.2355707 0.008510351 1.0092677483167882 0.000427810876987604 1.0 1.0077301629729742 1.0077301629729742 0.0015375853438139853
59770.6444985508 2.2355707 0.008510351 1.0072842902870056 0.00042739845686985277 1.0 1.0077300052049194 1.0077300052049194 -0.0004457149179137865
59770.64451449422 2.2355707 0.008510351 1.008977800682268 0.00042770039971349547 1.0 1.0077298474423781 1.0077298474423781 0.0012479532398899096
59770.64453043765 2.2355707 0.008510351 1.0074084250372122 0.00042742554333189184 1.0 1.0077296896852783 1.0077296896852783 -0.0003212646480661441
59770.64454638106 2.2355707 0.008510351 1.0062050031474918 0.0004271008172779927 1.0 1.007729531933836 1.007729531933836 -0.001524528786344126
59770.64456232448 2.2355707 0.008510351 1.0061159166607776 0.0004269648072088723 1.0 1.0077293741878353 1.0077293741878353 -0.00161345752705766
59770.64457826791 2.2355707 0.008510351 1.0073284628705408 0.00042733132722859695 1.0 1.007729216447276 1.007729216447276 -0.0004007535767351911
59770.64459421133 2.2355707 0.008510351 1.0078073861316579 0.00042744672275930266 1.0 1.0077290587123022 1.0077290587123022 7.832741935565046e-05
