Target Name,Mass [MJ],Mass [ME],Radius [RJ],Radius [RE],SMA [au],P [d],T_eq [K],Host,Teff [K],log(L) [Lsun],R [Rsun],TD [%],a/Rs,M [Msun],Instrument,Filter,Dispersion,λ [μm],# Obs.,EAP [mon],Proposal ID,Type,Observation Date(s) [MM/DD/YY]
TOI-421 b,0.0511,16.2400,0.1718,1.9258,0.1180,,981,G9,5325,-0.273,0.8710,0.0411,29.1686,0.8520,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,12,1935,Transit,11/06/23
TOI-421 b,0.0511,16.2400,0.1718,1.9258,0.1180,,981,G9,5325,-0.273,0.8710,0.0411,29.1686,0.8520,NIRSpec / BOTS,F290LP,G395M,2.87 – 5.18,1,12,1935,Transit,09/10/23
TOI-776 b,0.0130,4.1300,0.1650,1.8496,0.0650,,514,M1,3709,-1.300,0.5380,0.0992,26.0484,0.5440,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,2,0,2512,Transit,05/11/23;  05/27/23
TOI-776 c,0.0170,5.4000,0.1800,2.0177,0.1000,,415,M1,3709,-1.300,0.5380,0.1181,39.9516,0.5440,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,2,0,2512,Transit,06/09/23;  05/06/23
TOI-836 b,0.0143,4.5400,0.1520,1.7040,0.0420,,871,K7,4552,-0.853,0.6650,0.0551,13.6398,0.6600,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,0,2512,Transit,02/16/23
TOI-836 c,0.0302,9.6000,0.2308,2.5870,0.0750,,665,K7,4552,-0.853,0.6650,0.1271,24.2413,0.6600,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,2,0,2512,Transit,03/04/23;  03/08/23
LHS 475 b,0.0031,0.9800,0.0884,0.9910,0.0210,,552,M3.5,3312,-2.048,0.2875,0.0998,15.8720,0.5498,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,3,0,1981,Transit,08/31/22;  09/04/22;  09/27/22
TOI-178 b,0.0047,1.5000,0.1028,1.1523,0.0260,,1040,K?,4316,-0.879,0.6510,0.0263,8.6075,0.6500,NIRSpec / BOTS,F290LP,G395M,2.87 – 5.18,1,12,2319,Transit,07/13/23
TOI-178 d,0.0095,3.0100,0.2295,2.5726,0.0590,,690,K?,4316,-0.879,0.6510,0.1311,19.5460,0.6500,NIRSpec / BOTS,F290LP,G395M,2.87 – 5.18,1,12,2319,Transit,08/07/23
TOI-178 g,0.0124,3.9400,0.2560,2.8696,0.1280,,470,K?,4316,-0.879,0.6510,0.1632,42.0964,0.6500,NIRSpec / BOTS,F290LP,G395M,2.87 – 5.18,1,12,2319,Transit,11/11/23
TOI-741.01,0.0695,22.1000,,,0.0290,,,M0,3767,,0.5300,0,11.8014,0.4700,NIRCam / GTS,F444W,GRISM,3.9 – 4.9,3,0,1981,Transit,03/02/23;  03/10/23;  03/17/23
TRAPPIST-1 b,0.0027,0.8600,0.1000,1.1210,0.0110,,397,M7.5,2566,-3.260,0.1192,0.7426,20.0153,0.0898,MIRI / Imaging,F1500W,-,15,5,12,1177,Eclipse,11/08/22;  11/12/22;  11/20/22;  11/24/22;  12/03/22
TRAPPIST-1 b,0.0027,0.8600,0.1000,1.1210,0.0110,,397,M7.5,2566,-3.260,0.1192,0.7426,20.0153,0.0898,MIRI / Imaging,F1280W,-,12.8,5,12,1279,Eclipse,11/21/22;  10/27/23;  10/26/23;  10/29/23;  10/30/23
TRAPPIST-1 b,0.0027,0.8600,0.1000,1.1210,0.0110,,397,M7.5,2566,-3.260,0.1192,0.7426,20.0153,0.0898,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,2,0,2589,Transit,07/18/22;  07/20/22
TRAPPIST-1 c,0.0043,1.3700,0.0942,1.0559,0.0150,,339,M7.5,2566,-3.260,0.1192,0.659,27.4084,0.0898,MIRI / Imaging,F1500W,-,15,4,12,2304,Eclipse,10/27/22;  10/30/22;  11/06/22;  11/30/22
TRAPPIST-1 c,0.0043,1.3700,0.0942,1.0559,0.0150,,339,M7.5,2566,-3.260,0.1192,0.659,27.4084,0.0898,NIRSpec / BOTS,CLEAR,PRISM,0.6 – 5.3,4,0,2420,Transit,07/11/22;  11/03/23;  10/29/23;  11/08/23
TRAPPIST-1 c,0.0043,1.3700,0.0942,1.0559,0.0150,,339,M7.5,2566,-3.260,0.1192,0.659,27.4084,0.0898,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,2,0,2589,Transit,10/28/22;  Long Range 
TRAPPIST-1 d,0.0013,0.4100,0.0699,0.7835,0.0210,,286,M7.5,2566,-3.260,0.1192,0.3628,38.6603,0.0898,NIRSpec / BOTS,CLEAR,PRISM,0.6 – 5.3,2,12,1201,Transit,11/09/22;  11/05/22
TRAPPIST-1 e,0.0020,0.6400,0.0812,0.9102,0.0280,,249,M7.5,2566,-3.260,0.1192,0.4896,50.7957,0.0898,NIRSpec / BOTS,CLEAR,PRISM,0.6 – 5.3,4,12,1331,Transit,06/28/23;  10/28/23;  06/22/23;  06/16/23
TRAPPIST-1 f,0.0021,0.6700,0.0932,1.0447,0.0370,,217,M7.5,2566,-3.260,0.1192,0.6451,66.8981,0.0898,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,5,12,1201,Transit,10/28/22;  07/03/23;  07/22/23;  06/06/23;  06/15/23
TRAPPIST-1 g,0.0042,1.3300,0.1024,1.1479,0.0450,,197,M7.5,2566,-3.260,0.1192,0.7787,81.3236,0.0898,NIRSpec / BOTS,CLEAR,PRISM,0.6 – 5.3,2,0,2589,Transit,07/17/22;  12/12/22
TRAPPIST-1 h,0.0010,0.3200,0.0674,0.7555,0.0630,,171,M7.5,2566,-3.260,0.1192,0.3374,113.6006,0.0898,NIRSpec / BOTS,CLEAR,PRISM,0.6 – 5.3,3,0,1981,Transit,12/11/23;  11/03/23;  07/14/23
