Target Name,Mass [MJ],Mass [ME],Radius [RJ],Radius [RE],SMA [au],P [d],T_eq [K],Host,Teff [K],log(L) [Lsun],R [Rsun],TD [%],a/Rs,M [Msun],Instrument,Filter,Dispersion,λ [μm],# Obs.,EAP [mon],Proposal ID,Type,Observation Date(s) [MM/DD/YY]
GJ 3470 b,0.0396,12.5800,0.4310,4.8313,0.0360,,593,M1.5,3552,-1.446,0.4997,0.785,15.3000,0.4978,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,1,12,1201,Eclipse,11/22/23
GJ 357 b,0.0058,1.8400,0.1086,1.2174,0.0330,,525,M2.5,3272,-1.761,0.7200,0.024,9.8514,0.4700,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.27,1,0,2512,Transit,12/04/23
GJ 367 b,0.0017,0.5500,0.0641,0.7185,0.0070,,1745,M1.0,3522,-1.540,0.4570,0.0208,3.3393,0.4540,MIRI / LRS,-,-,5.0 – 14.0,1,12,2508,Phase Curve,02/22/23
GJ 436 b,0.0700,22.2400,0.3800,4.2596,0.0290,,686,M2.5,3586,-1.633,0.4168,0.8771,14.8880,0.4412,MIRI / LRS,-,-,5.0 – 12.0,2,12,1177,Eclipse,05/26/23;  12/02/23
GJ 436 b,0.0700,22.2400,0.3800,4.2596,0.0290,,686,M2.5,3586,-1.633,0.4168,0.8771,14.8880,0.4412,NIRCam / GTS,F322W2,GRISM,2.6 – 3.9,3,12,1185,Eclipse,01/16/23;  04/21/23;  12/05/23
GJ 436 b,0.0700,22.2400,0.3800,4.2596,0.0290,,686,M2.5,3586,-1.633,0.4168,0.8771,14.8880,0.4412,NIRCam / GTS,F444W,GRISM,3.9 – 4.9,3,12,1185,Eclipse,01/11/23;  12/31/22;  12/07/23
GJ 486 b,0.0089,2.8300,0.1164,1.3048,0.0170,,701,M3.5,3340,-1.917,0.3280,0.1329,11.3367,0.3230,MIRI / LRS,-,-,5.0 – 14.0,2,12,1743,Eclipse,05/29/23;  06/01/23
GJ 486 b,0.0089,2.8300,0.1164,1.3048,0.0170,,701,M3.5,3340,-1.917,0.3280,0.1329,11.3367,0.3230,NIRSpec / BOTS,F290LP,G395H,2.87 – 5.18,2,0,1981,Transit,12/25/22;  12/29/22
HAT-P-1 b,0.0525,16.6800,1.3190,14.7853,0.0560,,1322,G0,6051,0.225,1.1783,1.3222,10.1441,1.1260,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,12,1201,Transit,07/20/23
HAT-P-1 b,0.0525,16.6800,1.3190,14.7853,0.0560,,1322,G0,6051,0.225,1.1783,1.3222,10.1441,1.1260,NIRISS / SOSS,-,GR700XD,0.6 – 2.8,1,12,1201,Eclipse,07/13/22
HAT-P-12 b,0.2105,66.8900,0.9190,10.3015,0.0380,,963,K?,4652,-0.679,0.7036,1.8001,11.7306,0.7400,MIRI / LRS,-,-,5.0 – 14.0,1,12,1281,Transit,06/07/23
