,disc_year,discoverymethod,pl_name,pl_orbper,pl_rade
4696,2016,Transit,K2-90 c,2.900706,1.3
4697,2022,Transit,K2-394 b,5.095717,1.692
4698,2021,Microlensing,OGLE-2019-BLG-0304L b,,
4699,2016,Transit,TRAPPIST-1 b,1.510826,1.116
4700,2018,Transit,K2-176 b,5.329439,1.491
4701,2019,Transit,K2-290 b,9.21165,3.06
4702,2018,Transit,K2-172 c,29.62682,3.206
4703,2022,Transit,K2-384 d,6.679582,1.392
4704,2022,Microlensing,KMT-2018-BLG-1988L b,,
4705,2018,Transit,K2-247 b,2.25021,2.12
4706,2016,Transit,K2-72 b,5.577212,1.08
4707,2022,Transit,K2-374 c,16.43445,2.213
4708,2018,Transit,K2-264 c,19.660302,2.668
4709,2019,Transit,EPIC 212499991 b,34.885,1.6
4710,2015,Transit,K2-9 b,18.4498,2.25
4711,2016,Transit,K2-63 b,20.257,3.22
4712,2022,Transit,K2-378 b,2.060438,2.88
4713,2018,Transit,K2-187 c,2.871512,1.4
4714,2021,Transit,EPIC 212624936 b,0.578657,1.2
4715,2018,Transit,K2-217 b,14.074524,3.579
4716,2016,Transit,K2-62 b,6.67202,2.14
4717,2022,Transit,K2-381 b,7.9389334,1.075
4718,2018,Transit,K2-229 b,0.584216,1.0
4719,2019,Transit,EPIC 201497682 b,2.13174,0.692
4720,2022,Radial Velocity,HD 22532 b,872.6,
4721,2022,Radial Velocity,HD 64121 b,623.0,
4722,2016,Transit,TRAPPIST-1 d,4.049219,0.788
4723,2017,Transit,K2-136 c,17.30713,3.0
4724,2018,Transit,K2-242 b,6.51389,2.54
4725,2022,Transit,K2-398 b,6.393025,2.274
4726,2016,Transit,K2-70 b,13.97896,2.89
4727,2018,Transit,K2-195 c,28.482786,2.576
4728,2020,Transit,K2-323 b,24.93,2.1
4729,2016,Transit,K2-48 b,20.5065,2.24
4730,2018,Transit,K2-165 c,4.382745,1.554
4731,2018,Transit,K2-190 b,10.098858,1.357
4732,2018,Transit,K2-224 b,4.47904,1.56
4733,2018,Transit,K2-190 c,21.574023,1.093
4734,2018,Transit,K2-149 b,11.332,1.64
4735,2016,Transit,HD 3167 c,29.8454,3.0
4736,2007,Radial Velocity,HD 100777 b,383.0,
4737,2019,Transit,EPIC 201238110 b,28.1656,1.87
4738,2022,Transit,K2-381 d,26.803023,1.689
4739,2022,Transit,K2-400 b,3.865053,1.163
4740,2016,Transit,BD+20 594 b,41.6855,2.578
4741,2018,Transit,K2-249 b,12.409,2.79
4742,2014,Transit,Kepler-144 b,5.885273,1.33
4743,2016,Transit,Kepler-1000 b,120.0181272,4.76
4744,2022,Radial Velocity,GJ 514 b,140.43,
4745,2016,Transit,K2-24 c,42.3391,7.5
4746,2013,Transit,WASP-75 b,2.484193,14.235
4747,2017,Transit,K2-122 b,2.2193023,1.16
4748,2019,Transit,EPIC 212424622 b,18.0983,2.17
4749,2022,Transit,K2-384 b,2.231527,1.076
4750,2021,Imaging,b Cen AB b,1790000.0,
4751,2018,Transit,K2-264 b,5.840002,2.231
4752,2015,Transit,HATS-9 b,1.915291,13.85
4753,2020,Transit,K2-319 b,26.68,2.79
4754,2018,Transit,K2-151 b,3.835476,1.49
4755,2016,Transit,K2-72 c,15.189034,1.16
4756,2016,Transit,K2-36 c,5.340888,3.2
4757,2022,Transit,K2-396 b,0.673862,1.579
4758,2018,Transit,K2-283 b,1.921036,3.52
4759,2019,Transit,EPIC 201754305 d,2.71578,1.03
4760,2018,Transit,K2-200 b,2.849883,1.364
4761,2021,Transit,K2-138 g,41.96797,3.013
4762,2021,Transit,K2-355 b,5.7385647,2.25
4763,2024,Transit,K2-419 A b,20.35847252,10.55
4764,2012,Radial Velocity,Pr0211 b,2.1461,
4765,2016,Transit,K2-50 b,8.7529,1.59
4766,2021,Transit,EPIC 201427007 b,0.72091,1.5
4767,2019,Transit,EPIC 206024342 b,4.50756,1.7
4768,2018,Transit,K2-220 b,13.683256,2.39
4769,2019,Transit,K2-291 b,2.225177,1.589
4770,2016,Transit,K2-35 b,2.399964,1.32
4771,2018,Transit,K2-241 b,26.8199,2.55
4772,2017,Transit,K2-107 b,3.313959,15.98
4773,2016,Transit,K2-91 b,1.419549,1.1
4774,2018,Transit,K2-224 c,10.09489,2.41
4775,2018,Transit,K2-259 b,15.48043,2.32
4776,2020,Radial Velocity,K2-111 c,15.6805,
4777,2016,Transit,K2-59 c,11.2954,2.3
4778,2016,Transit,K2-49 b,2.77065,1.93
4779,2019,Transit,EPIC 201833600 c,3.96151,1.0
4780,2017,Transit,K2-138 c,3.56004,2.299
4781,2017,Transit,K2-133 d,11.02454,2.003
4782,2018,Transit,K2-195 b,15.852975,3.13
4783,2018,Transit,K2-178 b,8.747818,3.558
4784,2018,Transit,K2-153 b,7.51574,2.0
4785,2018,Transit,K2-252 b,13.81513,1.74
4786,2017,Transit,K2-138 e,8.26146,3.39
4787,2016,Transit,K2-90 b,13.733314,2.6
4788,2018,Transit,K2-148 d,9.7579,1.64
4789,2018,Transit,K2-238 b,3.20466,14.572
4790,2018,Transit,K2-255 b,1.96417,2.9
4791,2016,Transit,EPIC 220674823 c,13.3397,2.836
4792,2018,Transit,K2-276 b,18.718269,3.77
4793,2018,Transit,K2-165 b,2.354992,1.274
4794,2015,Transit,K2-16 b,7.6188,2.02
4795,2016,Transit,TRAPPIST-1 c,2.421937,1.097
4796,2018,Transit,K2-243 b,11.54182,2.17
4797,2018,Transit,K2-239 d,10.115,1.1
4798,2018,Transit,K2-80 d,28.867253,2.552
4799,2022,Transit,K2-406 b,22.549406,4.602
4800,2015,Transit,K2-19 b,7.9222,7.0
4801,2018,Transit,K2-157 b,0.365261,1.0
4802,2020,Transit,K2-326 b,1.256,2.28
4803,2018,Transit,K2-189 b,2.588309,1.52
4804,2022,Transit,K2-398 c,18.787839,5.098
4805,2016,Transit,K2-62 c,16.1966,2.14
4806,2016,Transit,K2-89 b,1.096026,0.615
